Location,Latitude,Longitude
Headwaters,54.415,-2.063056
Trib 1 US,54.407328,-2.057052
Trib 1,54.407322,-2.057245
Trib 1 DS,54.407222,-2.056944
Hard LV US,54.401111,-2.045833
Hard LV,54.401389,-2.045556
Trib 2,54.401389,-2.045278
SPENCE level,54.40116,-2.04433
Trib 3 US/SPENCE Lv DS,54.4003,-2.04192
Trib 3,54.40059,-2.04154
Trib 3 DS,54.39998,-2.04077
Catchment outflow,54.39469,-2.01959
River Swale US,54.3814,-1.97803
OGB before swale confluence,54.38187,-1.97741
River Swale DS,54.38187,-1.97616
Healaugh Spring,54.38689,-1.97458
