Location,Latitude,Longitude,pH,Conductivity,Sulfate (SO4) ,Alkalinity,Zinc (Zn),Lead (Pb),Cadmium (Cd),Nickel (Ni),Cobalt (Co),Boron (B),Manganese (Mn),Iron (Fe),Chromium (Cr),Calcium (Ca),Copper (Cu),Silver (Ag)
,,,, (us cm-1),mg l-1,mg l-1,mg l-1,mg l-1,mg l-1,mg l-1,mg l-1,mg l-1,mg l-1,mg l-1,mg l-1,mg l-1,mg l-1,mg l-1
Headwaters,54.415000,-2.063000,3.96,53,12,2.56,0.06,0.07,0,0,-0.02,0,0.05,0.62,0,0.85,0,0
Headwaters repeat,54.451000,-2.063056,,,,3.51,0.06,0.07,0,0,-0.02,0,0.05,0.62,0,0.86,0,0
Trib 1 US,54.407328,-2.057052,4.58,39,12,11.1,0.29,1.05,0,0,-0.02,0,0.07,0.64,0,3.44,0.01,0
Trib 1 US repeat,54.407328,-2.057052,,,,10.12,0.29,1.05,0,0,-0.02,0,0.07,0.63,0,3.43,0.01,0
Trib 1,54.407322,-2.057245,6.8,52,12,16.41,0.09,0.06,0,0,-0.01,0.01,0.05,0.32,0,5.81,0,0
Trib 1 repeat,54.407322,-2.057245,,,,16.34,0.09,0.06,0,0,-0.01,0,0.05,0.32,0,5.82,0,0
Trib 1 DS,54.407222,-2.056944,6.2,42,12,11.17,0.2,0.36,0,0,-0.01,0,0.05,0.47,0,3.78,0,0
Trib 1 DS repeat,54.407222,-2.056944,,,,11.46,0.2,0.36,0,0,-0.01,0,0.05,0.47,0,3.81,0,0
Hard LV US,54.401111,-2.045833,7.32,67,5,23.92,0.15,0.23,0,0,-0.01,0,0.03,0.4,0,8.42,0.01,0
Hard LV US repeat,54.401111,-2.045833,,,,24.01,0.15,0.23,0,0,-0.01,0,0.03,0.4,0,8.44,0.01,0
Hard LV,54.401389,-2.045556,7.81,212,25,86.7,0.59,0.11,0,0,0,0.01,0,0.08,0,29.86,0,0
Hard LV repeat,54.401389,-2.045556,,,,86.1,0.59,0.11,0,0,0,0.01,0,0.08,0,29.65,0,0
Trib 2,54.401389,-2.045278,7.9,111,10,40.23,0.2,0.05,0,0,0,0,0.01,0.11,0,14.81,0,0
Trib 2 repeat,54.401389,-2.045278,,,,40.67,0.2,0.05,0,0,0,0,0.01,0.11,0,14.89,0,0
SPENCE level,54.401160,-2.044330,7.97,136,4,51.43,0.14,0.1,0,0,0,0,0.01,0.15,0,18.3,0,0
SPENCE level repeat,54.401160,-2.044330,,,,51.3,0.14,0.1,0,0,0,0,0.01,0.15,0,18.2,0,0
Trib 3 US/SPENCE Lv DS,54.400300,-2.041920,8.07,171,8,56.82,0.32,0.14,0,0,0,0,0.01,0.17,0,19.91,0.01,0
Trib 3 US/SPENCE Lv DS repeat,54.400300,-2.041920,,,,57.51,0.32,0.14,0,0,0,0.01,0.01,0.17,0,19.96,0.01,0
Trib 3,54.400590,-2.041540,7.85,140,7,54.43,0.06,0.02,0,0,0,0,0.02,0.13,0,20.1,0,0
Trib 3 repeat,54.400590,-2.041540,,,,53.95,0.06,0.02,0,0,0,0,0.02,0.13,0,19.91,0,0
Trib 3 DS,54.399980,-2.040770,7.67,146,7,56.82,0.29,0.12,0,0,-0.01,0.01,0.01,0.22,0,19.86,0.01,0
Trib 3 DS repeat,54.399980,-2.040770,,,,56.54,0.29,0.13,0,0,-0.01,0,0.01,0.22,0,19.79,0.01,0
Catchment outflow,54.394690,-2.019590,8.07,154,4,61.61,0.2,0.1,0,0,-0.01,0,0.01,0.22,0,21.83,0.01,0
Catchment outflow repeat,54.394690,-2.019590,,,,61.37,0.2,0.1,0,0,-0.01,0,0.01,0.22,0,21.76,0.01,0
River Swale US,54.381400,-1.978030,8.44,275,2,107.2,0.03,0,0,0,0,0.01,0.01,0.05,0,37.71,0,0
River Swale US repeat,54.381400,-1.978030,,,5,106.4,0.03,0,0,0,0,0.01,0.01,0.05,0,37.33,0,0
OGB before swale confluence,54.381870,-1.977410,8.32,238,0,84.3,0.09,0.01,0,0,0,0.01,0,0.01,0,33.97,0,0
OGB before swale confluence repeat,54.381870,-1.977410,,,1,89.6,0.09,0.01,0,0,0,0.01,0,0.01,0,33.61,0,0
River Swale DS,54.381870,-1.976160,8.56,270,0,98.4,0.03,0,0,0,0,0.01,0.01,0.04,0,36.89,0,0
River Swale DS repeat,54.381870,-1.976160,,,2,98.2,0.03,0,0,0,0,0.01,0.01,0.04,0,36.38,0,0
Healaugh Spring,54.386890,-1.974580,8.37,404,0.02,162.9,0,0,0,0,0,0.02,0,0.01,0,56.5,0,0
Healaugh Spring repeat,54.386890,-1.974580,,,0,161.6,0,0,0,0,0,0.01,0,0.01,0,57.04,0,0
