Site,Metal,Annual Load (kg/yr),UK Limit (kg/yr),Exceedance (%)
Hard LV,Cadmium (Cd),1.775743787857346,5,35.514875757146925
Hard LV,Lead (Pb),43.109731203426,2000,2.1554865601713002
Hard LV,Zinc (Zn),226.3909905236445,2500,9.05563962094578
River Swale US,Cadmium (Cd),81.51793569475426,5,1630.3587138950852
River Swale US,Lead (Pb),-14.745245454646502,2000,-0.737262272732325
River Swale US,Zinc (Zn),10322.682439291153,2500,412.90729757164615
SPENCE level,Cadmium (Cd),0.02419475362401886,5,0.4838950724803772
SPENCE level,Lead (Pb),3.4327206495326794,2000,0.17163603247663398
SPENCE level,Zinc (Zn),4.791631362506336,2500,0.19166525450025343
